ABINSPAY,ABMEDGOV1,ABHELP1,ABHELP2,ABHELP3,ABHELP4,ABMORAL,ABSTATE1,ABSTATE2,SEX,RACE,CLASS,PARTYID,ID
0,1,0,0,0,0,0,0,0,1,2,3,1,323
0,0,0,0,0,0,0,0,0,2,2,2,1,324
0,0,0,0,0,0,0,0,0,1,2,3,6,325
0,1,0,0,0,0,0,0,0,2,1,2,5,326
0,1,0,0,0,0,0,1,0,1,2,2,2,327
0,0,0,0,0,0,0,0,0,2,3,3,0,328
0,0,0,0,0,0,0,0,0,2,2,3,1,329
1,0,0,0,0,0,0,0,1,2,2,3,1,330
0,1,0,0,0,0,0,0,0,1,1,3,0,331
0,1,0,0,0,0,0,1,0,2,1,3,1,332
1,1,0,0,0,0,0,1,0,2,1,3,3,333
0,1,0,0,0,0,0,0,0,2,1,2,4,334
0,1,0,0,0,0,0,0,0,1,1,3,6,335
0,0,0,0,0,0,0,0,0,1,1,3,5,336
0,1,0,0,0,0,0,0,0,2,1,3,5,337
0,1,0,0,0,0,0,0,0,1,1,4,0,338
0,0,0,1,0,0,0,0,0,2,1,4,2,339
0,1,0,0,0,0,0,0,0,2,1,3,4,340
0,1,0,0,0,0,0,0,0,1,1,3,5,341
0,1,0,0,0,0,0,1,1,1,1,3,7,342
0,0,0,0,0,0,0,0,0,2,2,4,3,343
0,1,0,0,0,0,0,0,0,1,1,4,6,344
0,0,0,0,0,0,0,0,0,2,2,2,0,345
0,1,0,0,0,0,0,0,0,2,1,1,0,346
0,0,0,0,0,0,0,0,0,2,2,2,0,347
0,1,0,0,0,0,0,0,0,2,1,2,2,348
0,1,0,0,0,0,0,0,0,2,2,3,1,349
0,0,0,0,0,0,0,0,0,2,2,1,1,350
1,0,0,0,0,0,0,0,0,2,2,2,2,351
0,1,0,0,0,0,0,0,0,2,2,2,3,352
0,0,0,0,0,0,0,0,0,2,1,4,4,353
0,1,0,0,0,0,0,0,0,1,3,3,1,354
0,0,0,0,0,0,0,0,0,1,1,3,0,355
0,0,0,0,0,0,0,1,1,2,3,2,0,356
0,1,0,0,0,0,0,0,0,2,2,4,0,357
0,1,0,0,0,0,0,1,0,1,2,2,3,358
0,1,0,0,0,0,0,0,0,1,1,3,6,359
0,0,0,0,0,0,0,0,0,1,1,2,4,360
0,1,0,0,0,0,0,0,0,1,1,3,6,361
0,0,0,0,0,0,0,0,0,2,1,3,7,362
0,0,0,0,0,0,0,0,0,2,1,2,5,363
0,0,0,0,0,0,0,0,1,2,1,3,5,364
0,1,0,0,0,0,0,0,1,1,1,2,6,365
0,0,0,0,0,0,0,0,0,2,2,2,0,366
0,0,0,0,0,0,0,0,1,2,1,3,0,367
0,1,0,0,0,0,0,0,0,2,1,3,2,368
0,0,0,0,0,0,0,0,0,2,1,4,2,369
0,0,0,0,0,0,0,0,0,1,1,3,5,371
0,1,0,0,0,0,0,0,0,1,1,4,0,372
0,0,0,0,0,0,0,0,0,2,1,3,0,373
0,0,0,0,0,0,0,0,0,2,1,2,1,374
0,0,0,1,0,0,0,1,1,1,1,2,5,375
0,1,0,0,0,0,0,0,0,2,1,3,2,376
0,0,0,0,0,0,0,0,0,2,1,2,2,377
1,1,0,0,0,0,0,0,0,2,1,3,3,378
0,0,0,0,0,0,0,0,0,2,1,4,4,379
0,0,0,0,0,0,0,0,0,2,1,3,0,380
0,0,0,0,0,0,0,0,0,1,1,2,3,381
0,0,0,0,0,0,0,1,1,2,1,3,2,383
0,1,0,0,0,0,0,0,0,1,3,3,1,384
0,1,0,0,0,0,0,1,0,2,1,3,0,385
0,1,0,0,0,0,0,0,0,2,1,3,0,386
0,1,0,0,0,0,0,0,0,2,1,3,3,387
0,0,0,0,0,0,0,0,0,2,1,3,7,388
0,1,0,0,0,0,0,0,0,1,2,3,0,389
0,0,1,0,0,0,0,0,0,2,2,3,3,390
0,0,0,1,0,0,0,1,1,2,3,2,3,391
0,1,0,0,0,0,0,0,0,1,1,3,0,392
0,0,0,0,0,0,0,0,0,2,2,2,1,393
0,1,0,0,0,0,0,0,0,2,3,3,2,394
0,1,0,0,0,0,0,0,1,1,1,3,1,395
0,1,0,0,0,0,0,0,0,1,1,1,4,397
0,0,0,0,0,0,0,0,0,1,1,3,0,398
0,1,0,0,0,0,0,0,0,1,1,3,2,399
0,0,0,0,0,0,0,0,0,1,1,3,3,401
0,1,0,0,0,0,0,0,0,2,3,4,3,402
0,0,0,0,0,0,0,0,0,2,1,2,3,403
0,1,0,0,0,0,0,0,0,2,1,2,5,404
0,0,0,0,0,0,0,0,0,2,1,1,4,405
0,0,0,0,0,0,0,0,0,1,1,3,4,406
0,1,0,0,0,0,0,0,0,2,1,2,2,407
0,0,0,0,0,0,0,0,0,2,1,1,3,409
0,0,0,0,0,0,0,0,0,1,1,2,4,410
0,0,0,0,0,0,0,0,0,2,1,3,3,411
0,1,0,0,0,0,0,0,0,2,1,3,1,412
0,0,0,0,0,0,0,0,0,2,1,4,6,414
0,1,0,0,0,0,0,1,1,2,1,3,3,415
0,0,0,0,0,0,0,0,0,1,1,4,2,416
0,1,0,0,0,0,0,0,1,1,1,2,3,417
0,0,0,0,0,0,0,1,1,1,1,2,3,418
0,1,0,0,0,0,0,0,0,2,3,2,0,419
0,0,0,0,0,0,0,0,0,2,1,2,2,420
0,0,0,0,0,0,0,0,0,1,1,2,6,421
1,0,0,0,0,0,0,0,0,2,1,3,1,422
0,1,0,0,0,0,0,0,0,1,1,3,4,423
0,1,0,0,0,0,0,1,0,2,3,3,1,424
0,0,0,0,0,0,0,0,0,2,1,2,3,425
0,0,0,0,0,0,0,1,1,2,1,3,4,426
0,1,0,0,0,0,0,0,0,1,3,4,1,428
0,1,0,0,0,0,0,0,0,2,1,2,0,429
0,0,0,0,0,0,0,0,0,2,3,3,1,430
0,1,0,0,0,0,0,0,0,2,1,3,0,431
0,0,0,0,0,0,0,0,0,1,1,3,5,432
0,1,0,0,0,0,0,1,1,2,3,2,3,434
0,0,0,0,0,0,0,0,0,1,1,2,0,435
0,1,0,0,0,0,0,0,0,2,3,2,7,436
0,0,0,0,0,0,0,0,0,2,1,3,0,437
0,1,0,0,0,0,0,0,0,2,1,3,6,438
0,0,0,0,0,0,0,0,0,2,1,4,4,439
0,0,0,0,0,0,0,0,0,2,2,1,4,440
0,1,0,0,0,0,0,0,0,1,3,2,2,441
0,0,0,0,0,0,0,0,0,2,1,2,0,442
0,1,0,0,0,0,0,1,0,2,3,3,7,443
0,0,0,0,0,0,0,0,0,2,3,2,0,444
0,1,0,0,0,0,0,1,0,2,2,2,3,445
0,0,0,0,0,0,0,0,0,1,3,3,4,446
0,0,0,0,0,0,0,0,0,2,3,2,1,447
0,0,0,0,0,0,0,1,1,2,2,3,2,448
0,1,0,0,1,0,0,1,0,2,1,3,1,449
0,0,0,0,0,0,0,0,0,2,2,3,1,450
0,0,0,0,0,0,0,0,0,2,1,1,1,452
0,1,0,0,0,0,0,0,0,2,3,3,3,453
0,1,0,0,0,0,0,0,0,2,1,3,0,454
0,1,0,0,0,0,0,0,0,2,2,1,0,455
0,0,0,0,0,0,0,0,0,1,3,3,1,456
0,1,0,1,0,0,0,1,0,1,2,2,2,457
0,0,0,0,0,0,0,0,0,2,3,2,5,458
0,1,1,0,0,0,0,0,0,2,1,2,7,459
0,1,0,0,0,0,0,0,0,2,1,2,1,460
0,1,0,0,0,0,0,1,0,1,1,3,0,461
0,0,0,0,0,0,0,0,0,2,3,2,4,462
0,0,0,0,0,0,0,0,0,1,1,2,2,464
0,0,0,0,0,0,0,1,1,2,1,4,2,465
0,0,0,0,0,0,0,0,0,2,1,3,3,466
0,1,0,0,0,0,0,0,0,2,3,2,1,467
0,1,0,0,0,0,0,0,0,1,1,2,5,468
1,0,0,0,0,0,0,0,0,2,1,4,4,469
0,0,0,0,0,0,0,0,0,2,1,2,7,470
0,1,0,0,0,0,0,1,0,2,1,3,0,471
0,0,0,0,0,0,0,0,0,2,3,2,1,472
0,0,0,0,0,0,0,0,0,2,1,3,0,473
0,0,0,0,0,0,0,0,0,2,3,3,3,475
0,1,0,0,0,0,0,0,0,1,1,3,0,476
0,1,0,0,0,0,0,0,0,2,1,2,2,477
0,0,0,0,0,0,0,1,0,1,3,3,1,478
0,1,0,0,0,0,0,0,0,2,1,3,6,479
0,0,0,0,0,0,0,0,0,1,1,2,2,480
0,1,0,0,0,0,0,0,0,2,3,3,5,481
0,0,0,0,0,0,0,0,0,2,2,2,2,482
0,0,0,0,0,0,0,0,0,1,1,2,4,485
0,1,0,0,0,0,0,0,0,2,2,1,0,486
0,1,0,0,0,0,0,0,0,2,2,3,0,487
0,1,0,0,0,0,0,0,0,2,1,3,2,488
0,0,0,0,0,0,0,1,0,1,1,3,2,489
0,0,1,1,1,0,0,0,0,2,1,3,0,490
1,1,0,0,0,0,0,0,0,2,1,3,5,491
0,1,0,0,0,0,0,0,0,1,1,4,0,492
0,0,0,0,0,0,0,0,0,2,1,4,0,493
0,1,0,0,0,0,0,1,1,1,1,3,6,494
0,0,0,0,0,0,0,0,0,2,1,3,6,495
0,0,0,0,0,0,0,0,0,2,2,2,0,496
0,1,0,0,0,0,0,0,0,2,2,4,4,497
0,1,0,0,0,0,0,0,0,2,1,1,3,498
0,0,0,0,0,0,0,0,0,1,1,4,3,499
0,0,0,0,0,0,0,0,0,1,1,3,2,501
0,1,0,0,0,0,0,0,0,1,2,3,2,502
0,0,0,0,0,0,0,1,0,2,1,3,5,503
0,1,0,0,0,0,0,0,0,1,1,2,4,504
0,0,0,0,0,0,0,0,0,1,3,3,1,505
0,0,0,0,0,0,0,1,0,1,1,3,6,506
0,1,0,0,0,0,0,0,0,1,1,3,3,507
0,0,0,0,0,0,0,0,0,2,3,2,1,508
0,1,0,0,0,0,0,0,0,1,1,3,2,509
0,0,0,0,0,0,0,0,0,2,2,3,2,510
0,0,0,0,0,0,0,0,1,2,3,3,2,511
0,0,0,0,0,0,0,0,0,2,1,4,3,512
0,1,0,0,0,0,0,1,1,1,1,3,3,513
1,0,0,0,0,0,0,0,0,1,1,3,3,514
0,1,0,0,0,0,0,0,0,1,1,3,5,515
1,0,0,1,0,0,0,0,0,2,1,4,5,516
0,1,0,0,0,0,0,0,0,1,1,3,5,517
0,1,0,0,0,0,0,0,0,2,1,3,1,518
0,0,0,0,0,0,0,0,0,2,1,4,1,519
